IID	trait.A	trait.B	trait.C	trait.D
HGDP00610	0.476076222079004	0.245457284226625	0.219182940468692	0.0592835532256786
HGDP00982	0.20184834971411	0.438300864527567	0.00779775919722417	0.352053026561099
HGDP00001	0.0132893078538136	0.188238917977367	0.402212096354307	0.396259677814512
HGDP01247	0.335585734233559	0.207064936039293	0.268822336657773	0.188526993069374
HGDP00309	0.317882023145458	0.271236060286067	0.0676216828303593	0.343260233738116
HGDP00786	0.361872253445165	0.378677448640439	0.180634545076352	0.0788157528380433
HGDP00611	0.486583085462498	0.165508227922364	0.0668989981110045	0.281009688504134
HGDP00003	0.4339004294639	0.261837865907726	0.026245308198079	0.278016396430295
HGDP00984	0.400505259735272	0.0245194880828935	0.348742596120144	0.22623265606169
HGDP00787	0.250520104168535	0.254436308908421	0.383940731750836	0.111102855172208
HGDP01248	0.0610082220789978	0.399994596058477	0.476050257905605	0.0629469239569209
HGDP00311	0.192656649241594	0.195457745588465	0.312544753795844	0.299340851374097
HGDP00612	0.275602455814187	0.25513183426485	0.121627898664375	0.347637811256589
HGDP00005	0.446929585550328	0.34442413607503	0.143431303009405	0.0652149753652368
HGDP00985	0.128271676835399	0.384208091224037	0.411741662864762	0.0757785690758017
HGDP00788	0.447045011499769	0.154083074002002	0.109698141857012	0.289173772641216
HGDP00313	0.261715565237014	0.231637433016226	0.279582284317851	0.227064717428909
HGDP01249	0.28284373987687	0.281972757339394	0.248958379555896	0.18622512322784
HGDP00613	0.0305503827533515	0.152241231423881	0.561459136073983	0.255749249748784
HGDP00007	0.0736021322299652	0.23173708522079	0.440851323183833	0.253809459365411
HGDP00986	0.293860374202624	0.0800101461649148	0.335447174221787	0.290682305410675
HGDP00790	0.290095276672677	0.382169635537914	0.178408322203571	0.149326765585837
HGDP00315	0.190908377954974	0.411178565874922	0.261327463583687	0.136585592586417
HGDP01250	0.322255114119727	0.151103029793931	0.22037552391541	0.306266332170932
HGDP00614	0.305299346548241	0.463622753313432	0.0430899931029563	0.18798790703537
HGDP00009	0.376580333867643	0.205045337389305	0.0226722258789953	0.395702102864057
HGDP00987	0.225196660287709	0.0516716991895396	0.491043430566996	0.232088209955755
HGDP00791	0.250252585020985	0.0280048408601939	0.168692686406375	0.553049887712446
HGDP00319	0.312870628955372	0.0200171593170567	0.393668710830562	0.273443500897009
HGDP01251	0.408298248673176	0.00649377861298629	0.141003715981341	0.444204256732497
HGDP00615	0.114613427171528	0.103113418903807	0.364816270696803	0.417456883227862
HGDP00011	0.485699675666278	0.186964192770748	0.227086553470841	0.100249578092133
HGDP00991	0.11710928245131	0.24218063008676	0.620210121103262	0.0204999663586677
HGDP00794	0.106918959082286	0.47103994612498	0.0699904241772401	0.352050670615494
HGDP00323	0.142943181230767	0.313240370702824	0.122023068947167	0.421793379119242
HGDP01253	0.399126786954309	0.231896636023233	0.0312822115308876	0.337694365491571
HGDP00616	0.209753938156709	0.016324583908954	0.37106132672817	0.402860151206167
HGDP00013	0.122128027510868	0.244477859177817	0.26554341690894	0.367850696402375
HGDP00992	0.256762807035676	0.0160660710856865	0.413385201607138	0.3137859202715
HGDP00795	0.124412450639963	0.304903750435391	0.241063932809587	0.329619866115058
HGDP00326	0.212801603291695	0.307360237525418	0.198640229732845	0.281197929450042
HGDP01254	0.0816959420338794	0.328293710838753	0.281388623418272	0.308621723709095
HGDP00618	0.418939440510457	0.221015455779431	0.0784076625677509	0.28163744114236
HGDP00015	0.0773079667858142	0.210528767687129	0.277485508967595	0.434677756559461
HGDP00993	0.218450917500661	0.251075907568744	0.44516745997798	0.085305714952615
HGDP00796	0.354255091918817	0.267776495014092	0.200387594661553	0.177580818405538
HGDP00328	0.343232322944384	0.275470733597596	0.110749512450755	0.270547431007265
HGDP01255	0.195706820678302	0.403029252716146	0.395336850946925	0.00592707565862703
HGDP00619	0.382885471296087	0.113897999231708	0.466840138662317	0.0363763908098875
HGDP00017	0.0945734819700643	0.310479022520292	0.335889359442683	0.25905813606696
HGDP00994	0.103947845318374	0.194830120013883	0.323619606614257	0.377602428053486
HGDP00330	0.503799425173073	0.0654655440396203	0.228414729080258	0.20232030170705
HGDP00797	0.330795185631271	0.134701164879305	0.0741810011461077	0.460322648343316
HGDP00620	0.251650623555705	0.309489163021322	0.240170428776963	0.19868978464601
HGDP01256	0.0432084753926555	0.423873149142561	0.361432440952923	0.17148593451186
HGDP00019	0.19421391107341	0.190433333304919	0.23376423784383	0.381588517777841
HGDP00333	0.191324491742975	0.094220853585378	0.0894996145757153	0.624955040095932
HGDP00995	0.346052619515669	0.233801706406446	0.106860319564841	0.313285354513044
HGDP00798	0.249616503604364	0.388926015781447	0.219362416702008	0.142095063912181
HGDP00621	0.315314267898916	0.641261367071759	0.040025617308821	0.0033987477205033
HGDP01257	0.321826085364445	0.0986939209968964	0.336943810498678	0.242536183139981
HGDP00021	0.152913066167625	0.361933070945878	0.0708542092516535	0.414299653634844
HGDP00338	0.205536379173427	0.330531765042162	0.142762840995532	0.321169014788879
HGDP00999	0.586911186578587	0.151930308661911	0.0407917688321049	0.220366735927397
HGDP00799	0.396460556662363	0.260981882870867	0.143487917763281	0.199069642703489
HGDP00622	0.287006705449862	0.0854692909006222	0.271855465559498	0.355668538090018
HGDP01258	0.332150135135267	0.332089116491041	0.0883676976543048	0.247393050719387
HGDP00023	0.301395416176352	0.336564403574407	0.0132942651805294	0.348745915068712
HGDP00341	0.201446598649919	0.396490475694376	0.377963598471904	0.024099327183802
HGDP01010	0.390048602559627	0.460105915612553	0.00817032515602568	0.141675156671794
HGDP00800	0.199924291046055	0.344395624027364	0.29814240534917	0.157537679577411
HGDP00623	0.231324442180604	0.189453674953631	0.359762957466429	0.219458925399336
HGDP00025	0.0239760255596162	0.364020196434599	0.540160769418199	0.0718430085875862
HGDP01259	0.00563691320872845	0.234318158680214	0.358563438293189	0.401481489817868
HGDP00346	0.296038893061469	0.230146313071197	0.141263945848909	0.332550848018426
HGDP01013	0.0515526693384706	0.312579288553061	0.164971286196935	0.470896755911533
HGDP00624	0.174295404269108	0.211878333710965	0.256426105091183	0.357400156928745
HGDP00802	0.178462886444744	0.281195918976289	0.413730577272701	0.126610617306266
HGDP00027	0.334653373646797	0.241319561801865	0.187653952932281	0.236373111619057
HGDP01260	0.0785805769023699	0.450515801448703	0.24384007421418	0.227063547434747
HGDP00351	0.22639786092734	0.334365769313341	0.347317661768803	0.0919187079905153
HGDP01015	0.360008242830059	0.33023915404485	0.0410112266147198	0.268741376510372
HGDP00625	0.335645571048186	0.455684809858134	0.149105448961987	0.0595641701316931
HGDP00803	0.0487033371475243	0.412126142957808	0.299393573084429	0.239776946810238
HGDP00029	0.240958082697625	0.363695031043778	0.0116212756624633	0.383725610596133
HGDP01261	0.27090879160693	0.247761015137257	0.14743482561029	0.333895367645523
HGDP00356	0.247043792406391	0.152783937540972	0.551718922665518	0.048453347387119
HGDP01021	0.282996831931706	0.195538083476648	0.288392605359413	0.233072479232233
HGDP00626	0.323017761566527	0.210850379248237	0.390443993477535	0.075687865707701
HGDP00804	0.336482665789957	0.424201891368214	0.165310666038676	0.0740047768031534
HGDP00031	0.196509028688766	0.164572380097382	0.223450226525953	0.415468364687899
HGDP01262	0.21074071861528	0.0663156030773231	0.351305695982708	0.371637982324688
HGDP00359	0.113198747618722	0.129310074037038	0.318741036867201	0.438750141477038
HGDP01023	0.280052238640662	0.198598721696924	0.427911438286125	0.0934376013762886
HGDP00627	0.00935126843616496	0.635151908912596	0.289261777941937	0.0662350447093019
HGDP00805	0.120467945407713	0.340204856924291	0.201601267091879	0.337725930576117
HGDP00033	0.254286953769921	0.397648823617733	0.148193974522439	0.199870248089906
HGDP01263	0.314979170904474	0.193447137390968	0.343727680322952	0.147846011381606
HGDP00364	0.317668693235978	0.157518059588375	0.150339554905957	0.374473692269691
HGDP01027	0.0495178373672444	0.0846432226606635	0.269961465406589	0.595877474565503
HGDP00628	0.522639877263397	0.254394844183221	0.118762204967234	0.104203073586148
HGDP00806	0.342103722326968	0.0896877454677896	0.0601911105651655	0.508017421640077
HGDP00035	0.0564197653264124	0.454586452514591	0.23670145774138	0.252292324417617
HGDP01264	0.273617862252064	0.288078787752697	0.309258270280446	0.129045079714793
HGDP00371	0.399677513573961	0.0566115184097387	0.251278778603755	0.292432189412545
HGDP01028	0.443576320080955	0.159427218393476	0.199038645318937	0.197957816206632
HGDP00629	0.299417405963356	0.216794470059378	0.145756129433549	0.338031994543717
HGDP00807	0.329003149769694	0.268077415429273	0.227574776218045	0.175344658582988
HGDP00037	0.239826041357303	0.421902836036543	0.212567160967453	0.125703961638702
HGDP01265	0.342566385577793	0.376894345223548	0.0490717888243225	0.231467480374337
HGDP00372	0.145962614845892	0.405761413795463	0.0326880141364727	0.415587957222173
HGDP01029	0.225404194052361	0.510997358302928	0.122841221250855	0.140757226393856
HGDP00630	0.444134967336506	0.0889817557594403	0.15468234292892	0.312200933975133
HGDP00808	0.10435492077346	0.527911518323396	0.132668274075923	0.23506528682722
HGDP00039	0.0970471343944366	0.0617702862015473	0.678074267908566	0.16310831149545
HGDP01266	0.382194232065132	0.186337178791515	0.238557506363929	0.192911082779424
HGDP00376	0.21774563051002	0.32083758547806	0.177558625702369	0.283858158309551
HGDP01030	0.222557036934094	0.197733963564327	0.3788733982048	0.20083560129678
HGDP00631	0.170717296719258	0.465924083826511	0.191635834303863	0.171722785150369
HGDP00041	0.06038102690489	0.237738090038271	0.410600796145849	0.291280086910991
HGDP00810	0.415659127561748	0.412752417644964	0.0658396998417347	0.105748754951553
HGDP01267	0.380506821869963	0.404660874008149	0.15798519899583	0.0568471051260578
HGDP00382	0.297194865403444	0.175338586151148	0.216924014783675	0.310542533661733
HGDP01031	0.321188505104629	0.0801407318399334	0.370935200355677	0.22773556269976
HGDP00632	0.365851048953566	0.110128663150798	0.354542050262504	0.169478237633133
HGDP00811	0.205411244712843	0.521487447095326	0.223912637432064	0.0491886707597669
HGDP00043	0.376386581922933	0.293343549445732	0.0227384488788898	0.307531419752445
HGDP01268	0.329053295949046	0.200426936577534	0.167186615152182	0.303333152321238
HGDP00388	0.263053878730112	0.237198389226631	0.238125333767898	0.261622398275359
HGDP01032	0.00080949692213464	0.30846033430912	0.399268099825999	0.291462068942746
HGDP00634	0.0532672502037177	0.151202902145775	0.394319130781106	0.401210716869402
HGDP00812	0.313731184067166	0.329949860531896	0.284979603090025	0.0713393523109131
HGDP00045	0.0225317229283061	0.142030051336729	0.761702485684058	0.0737357400509076
HGDP01269	0.43976556854755	0.0258541140149018	0.17286180401488	0.361518513422668
HGDP00392	0.482374401849533	0.325934004642932	0.0259336463160294	0.165757947191505
HGDP01033	0.166037039348863	0.215142292196215	0.177673320436846	0.441147348018076
HGDP00635	0.3249073665033	0.446512184835108	0.0382031746064091	0.190377274055183
HGDP00813	0.133535214910982	0.0407230890843496	0.28780665989385	0.537935036110818
HGDP00047	0.401450138240211	0.235636121615369	0.00634525372186993	0.356568486422551
HGDP01270	0.237467671059898	0.0606532868572997	0.258344881728068	0.443534160354734
HGDP00397	0.172982409965085	0.288398824311817	0.24049630194692	0.298122463776178
HGDP01034	0.338462551008311	0.273300799259969	0.150460219935954	0.237776429795766
HGDP00636	0.571832898293392	0.189413600247528	0.0631175650764244	0.175635936382655
HGDP00814	0.170647400869162	0.13640257537335	0.153308777026445	0.539641246731043
HGDP00049	0.281410452625916	0.299394278459824	0.132916704771495	0.286278564142764
HGDP00402	0.314583961315996	0.426904065836186	0.237649986286154	0.020861986561664
HGDP01271	0.324439717945125	0.294553988211727	0.271104179512114	0.109902114331033
HGDP01035	0.287612717121104	0.184698111972699	0.390628270761667	0.13706090014453
HGDP00637	0.294636189273174	0.0888300012502511	0.4210662360971	0.195467573379475
HGDP00815	0.159508975334281	0.536042424047562	0.0115226695029728	0.292925931115184
HGDP00052	0.0519252760350609	0.322863150049453	0.260615063616626	0.364596510298861
HGDP00407	0.28333797151746	0.249076804207725	0.253020164197745	0.214565060077071
HGDP01272	0.259941824889905	0.0421653757980406	0.324628328647747	0.373264470664307
HGDP01036	0.119517808180894	0.0160348964833228	0.280552806617086	0.583894488718698
HGDP00638	0.262839062899033	0.47272530045635	0.181362603430424	0.0830730332141933
HGDP00054	0.0460961691971963	0.276741182497384	0.355826607012371	0.321336041293048
HGDP00817	0.116588621069087	0.390834975084415	0.234941054863922	0.257635348982575
HGDP00412	0.261963006010786	0.56298592643854	0.135445559986062	0.0396055075646121
HGDP01274	0.302426096026118	0.0285934386450522	0.280853055909406	0.388127409419424
HGDP01037	0.163585146521428	0.409898404408996	0.0418710286448412	0.384645420424735
HGDP00639	0.18378846695171	0.227722339460923	0.317036251589739	0.271452941997629
HGDP00818	0.409910633882498	0.312974407733423	0.0355081465555627	0.241606811828516
HGDP00056	0.461097326850067	0.0368033299056827	0.488049498201902	0.0140498450423489
HGDP00417	0.109832133647529	0.284219906622876	0.437603690510501	0.168344269219095
HGDP01275	0.321727585703084	0.187988331307134	0.325986941853458	0.164297141136323
HGDP01041	0.265144942290588	0.0161548308227507	0.281297565824452	0.437402661062209
HGDP00640	0.338096691629323	0.254067819549014	0.127557333126211	0.280278155695452
HGDP00819	0.306575248219819	0.146232082383799	0.266725768204845	0.280466901191537
HGDP00057	0.304858973244955	0.193735991511471	0.0119785522534414	0.489426482990132
HGDP00423	0.0416891304587317	0.352025387209828	0.193405702399625	0.412879779931815
HGDP01276	0.15570938823182	0.0628801646003851	0.0974268114041315	0.683983635763663
HGDP01044	0.103863238810836	0.163991032844232	0.235738700397313	0.496407027947619
HGDP00641	0.286270053117899	0.30350438808763	0.312307131053536	0.0979184277409351
HGDP00820	0.446192983964123	0.368582320226367	0.152517792187552	0.0327069036219586
HGDP00058	0.276284752247406	0.304508743042377	0.352979016709733	0.0662274880004839
HGDP00428	0.324144695161813	0.365312146272872	0.0686159953526304	0.241927163212685
HGDP01277	0.192268443724655	0.181030963810391	0.253597141107961	0.373103451356993
HGDP01047	0.313410846794255	0.262751678421869	0.127587469085446	0.296250005698431
HGDP00821	0.45276243301928	0.471004079495334	0.0290414721785849	0.0471920153068018
HGDP00642	0.396415657192683	0.412509206851783	0.181138458126668	0.00993667782886588
HGDP00060	0.311996960992729	0.151514478660526	0.210656557884656	0.325832002462089
HGDP00433	0.30792388763191	0.357440758844607	0.134253170064329	0.200382183459154
HGDP01279	0.217589650483526	0.216311058393243	0.396730342922426	0.169368948200805
HGDP01053	0.306342309129392	0.244679376149552	0.141308901731471	0.307669412989584
HGDP00822	0.276692285378544	0.323205259997216	0.0539450856547578	0.346157368969482
HGDP00643	0.393109759431487	0.0624198997476991	0.0572873632873331	0.487182977533481
HGDP00062	0.528818216166302	0.125576023270322	0.266899333664763	0.0787064268986136
HGDP00438	0.283577165901647	0.355952973294227	0.0727938540057435	0.287676006798383
HGDP01280	0.0139515472809871	0.646811668435664	0.0718045008485847	0.267432283434764
HGDP01055	0.261417752819704	0.221514213971032	0.304005523435286	0.213062509773977
HGDP00644	0.253483264265745	0.337432828441687	0.342265944958476	0.066817962334092
HGDP00828	0.134188336446019	0.378867401379593	0.482962802181717	0.00398145999267094
HGDP00064	0.313405153755779	0.155535011603848	0.290102284328819	0.240957550311555
HGDP00444	0.131223532717799	0.302844972384292	0.246162026772284	0.319769468125626
HGDP01282	0.321045949258733	0.152745940927244	0.160280569629369	0.365927540184655
HGDP01056	0.146616389011999	0.276095444371116	0.275490574667636	0.301797591949248
HGDP00645	0.243223622856344	0.261475210968656	0.291992326644324	0.203308839530675
HGDP00832	0.084808254324404	0.0556381741191925	0.567224041974308	0.292329529582095
HGDP00066	0.305951641860433	0.296975919535762	0.125317888156512	0.271754550447294
HGDP00445	0.383503005546247	0.177311934402413	0.230985660013033	0.208199400038308
HGDP01283	0.321084086119715	0.230338721615879	0.393551671760904	0.0550255205035017
HGDP01057	0.178082479705543	0.370255936714875	0.0598360508429135	0.391825532736668
